chembl_id,name,pockets,best_dG,best_LE,CNS_MPO_6,MW,LogP,BBB_logBB,CNS_logPS,Abs_pct,Pgp_sub,AMES,hERG2,Hepato,n_pass_6,hard_fail,smiles
CHEMBL691,ETHINYL ESTRADIOL,S1_site1813,-19.33,0.879,4.39,296.4,3.61,-0.077,-0.53,94.9,Yes,No,No,No,6,False,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
CHEMBL3707377,SEGESTERONE ACETATE,S1_site688,-23.34,0.865,4.31,370.5,4.19,0.069,-1.833,99.3,No,No,No,No,6,False,C=C1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]2(C)[C@@]1(OC(C)=O)C(C)=O
CHEMBL4105630,ZURANOLONE,S1_site680;S1_site688,-25.32,0.844,3.26,409.6,4.34,0.139,-1.805,97.8,Yes,No,No,No,6,False,C[C@@]1(O)CC[C@H]2[C@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H](C(=O)Cn4cc(C#N)cn4)CC[C@@H]32)C1
CHEMBL494753,ESTRONE SULFURIC ACID,S1_site680;S1_site688,-20.02,0.834,4.7,350.4,3.29,-0.03,-2.045,94.4,No,No,No,No,5,False,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O
CHEMBL1200624,ETHYNODIOL DIACETATE,S1_site688,-21.17,0.756,3.96,384.5,4.43,0.28,-1.583,99.9,No,No,No,No,6,False,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C
CHEMBL1177,PEMOLINE,S3_site473,-24.62,1.894,5.71,176.2,0.6,-0.253,-2.477,76.5,No,Yes,No,Yes,3,True,NC1=NC(=O)C(c2ccccc2)O1
CHEMBL95,TACRINE,S3_site473,-27.15,1.81,5.52,198.3,2.7,0.209,-1.784,92.5,Yes,Yes,No,Yes,4,True,Nc1c2c(nc3ccccc13)CCCC2
CHEMBL857,BIOTIN,S3_site473,-28.61,1.788,4.63,244.3,0.8,-0.862,-3.152,72.2,No,No,No,Yes,4,True,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21
CHEMBL1371,CHLORZOXAZONE,S3_site473,-19.36,1.76,5.8,169.6,1.77,0.252,-1.775,92.9,No,Yes,No,Yes,4,True,O=c1[nH]c2cc(Cl)ccc2o1
CHEMBL1454910,NITROXOLINE,S3_site473,-22.13,1.581,5.47,190.2,1.85,-0.282,-2.249,94.4,No,Yes,No,No,4,True,O=[N+]([O-])c1ccc(O)c2ncccc12
CHEMBL1266,TETRAHYDROZOLINE,S3_site473,-21.92,1.462,5.76,200.3,2.11,0.42,-1.878,93.5,No,Yes,No,No,5,True,c1ccc2c(c1)CCCC2C1=NCCN1
CHEMBL595,PIOGLITAZONE,S3_site473,-33.08,1.323,5.07,356.4,3.16,-0.561,-2.53,95.1,No,No,No,Yes,4,True,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1
CHEMBL2359966,QUININE SULFATE,S3_site473,-30.89,1.287,5.23,324.4,3.17,0.019,-1.984,94.6,Yes,No,Yes,Yes,4,True,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
CHEMBL799,CILOSTAZOL,S3_site473,-34.19,1.266,4.42,369.5,3.46,-0.728,-3.024,94.3,Yes,No,No,Yes,4,True,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1
CHEMBL1256841,NIALAMIDE,S3_site473,-27.02,1.228,4.54,298.3,1.02,-0.724,-3.088,61.4,Yes,Yes,No,No,4,True,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1
CHEMBL1201754,RUFINAMIDE,S3_site473,-20.2,1.188,5.52,238.2,0.7,-0.872,-3.02,78.8,No,No,No,Yes,4,True,NC(=O)c1cn(Cc2c(F)cccc2F)nn1
CHEMBL1201060,LOXAPINE HYDROCHLORIDE,S1_site680,-26.18,1.138,4.83,327.8,3.77,0.193,-1.309,93.3,Yes,No,No,Yes,5,True,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1
CHEMBL2079587,STANOZOLOL,S1_site1813,-27.24,1.135,3.88,328.5,4.12,-0.024,-0.97,91.1,Yes,No,Yes,Yes,4,True,C[C@]12Cc3c[nH]nc3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
CHEMBL1628385,PROCAINE BENZYLPENICILLIN,S1_site1813,-24.89,1.082,4.87,334.4,0.86,-0.725,-2.936,63.1,Yes,No,No,Yes,4,True,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O
CHEMBL2103837,TAFAMIDIS,S1_site680,-20.86,1.043,3.83,308.1,4.5,-0.209,-1.795,92.2,No,No,No,Yes,5,True,O=C(O)c1ccc2nc(-c3cc(Cl)cc(Cl)c3)oc2c1
CHEMBL1200803,SOLIFENACIN SUCCINATE,S1_site1813,-28.11,1.041,4.72,362.5,3.86,0.273,-1.846,95.0,Yes,No,Yes,Yes,4,True,O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1
CHEMBL1627367,FLUOROESTRADIOL,S1_site1813;S1_site688,-21.71,1.034,4.44,290.4,3.56,0.192,-1.592,92.0,Yes,No,Yes,No,5,True,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](F)[C@@H]2O
CHEMBL4585668,BELZUTIFAN,S1_site1813,-26.71,1.027,4.36,383.3,3.29,-1.052,-3.093,92.9,No,No,No,Yes,3,True,CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)[C@H](F)[C@@H]2F
CHEMBL1405,ESTRONE,S1_site1813,-20.52,1.026,4.58,270.4,3.82,0.052,-1.362,94.8,Yes,No,Yes,No,5,True,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O
CHEMBL254857,FIPEXIDE,S1_site680,-27.41,1.015,5.44,388.9,2.79,0.356,-2.419,90.6,Yes,No,Yes,Yes,3,True,O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1
CHEMBL654,MIRTAZAPINE,S1_site1813,-20.13,1.007,5.81,265.4,2.48,0.287,-1.764,96.6,No,No,Yes,Yes,4,True,CN1CCN2c3ncccc3Cc3ccccc3C2C1
CHEMBL406393,DEOXYCHOLIC ACID,S1_site688,-27.65,0.987,2.49,392.6,4.48,-0.515,-1.977,97.4,Yes,Yes,No,No,5,True,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
CHEMBL1200430,ESTRADIOL ACETATE,S1_site1813,-22.63,0.984,4.57,314.4,3.83,0.088,-2.075,94.8,No,Yes,No,No,4,True,CC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12
CHEMBL4594261,FLUOROESTRADIOL F-18,S1_site1813,-20.44,0.973,4.44,289.4,3.56,0.192,-1.592,92.0,Yes,No,Yes,No,5,True,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H]([18F])[C@@H]2O
CHEMBL256997,ATALUREN,S1_site680,-20.28,0.966,4.84,284.2,3.24,-0.622,-2.214,93.8,No,No,No,Yes,4,True,O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1
CHEMBL85,RISPERIDONE,S1_site688,-27.81,0.927,4.5,410.5,3.59,0.044,-2.843,94.5,No,No,Yes,Yes,3,True,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
CHEMBL3989939,LAROTRECTINIB SULFATE,S1_site680,-28.69,0.925,3.92,428.4,2.95,-1.673,-3.067,94.9,Yes,No,Yes,Yes,2,True,O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1
CHEMBL1531,ETONOGESTREL,S1_site688,-21.39,0.891,4.35,324.5,4.05,0.108,-1.513,98.8,Yes,No,No,Yes,5,True,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC
CHEMBL3137310,BENZHYDROCODONE HYDROCHLORIDE,S1_site1813;S1_site688,-26.71,0.89,4.51,403.5,3.71,0.416,-1.823,93.5,Yes,No,Yes,Yes,4,True,COc1ccc2c3c1O[C@H]1C(OC(=O)c4ccccc4)=CC[C@@H]4[C@@H](C2)N(C)CC[C@@]341
CHEMBL1479,DANAZOL,S1_site688,-22.23,0.889,4.18,337.5,4.22,-0.017,-1.685,97.6,Yes,No,No,Yes,5,True,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C
CHEMBL1375743,ZIPRASIDONE HYDROCHLORIDE,S1_site1813;S1_site680;S1_site688,-24.58,0.878,4.14,412.9,3.81,0.212,-1.713,89.7,Yes,No,Yes,Yes,4,True,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
CHEMBL231068,FLIBANSERIN,S1_site688,-24.45,0.873,4.97,390.4,3.17,0.367,-0.891,85.9,Yes,Yes,Yes,No,4,True,O=c1[nH]c2ccccc2n1CCN1CCN(c2cccc(C(F)(F)F)c2)CC1
CHEMBL1621,PALIPERIDONE,S1_site680;S1_site688,-26.53,0.856,4.26,426.5,3.08,-0.229,-2.933,93.7,Yes,No,Yes,Yes,3,True,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O
CHEMBL90593,PRASTERONE,S1_site688,-17.93,0.854,4.52,288.4,3.88,0.253,-2.18,96.8,No,No,Yes,No,4,True,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL340978,BENOXAPROFEN,S1_site680,-17.86,0.851,3.99,301.7,4.34,0.114,-1.907,95.6,No,No,No,Yes,5,True,CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1
CHEMBL473417,VISMODEGIB,S1_site680,-22.4,0.83,2.85,421.3,4.71,-0.681,-1.999,95.0,No,No,Yes,Yes,4,True,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1
CHEMBL14376,ILOPERIDONE,S1_site680,-25.29,0.816,3.11,426.5,4.83,-0.397,-2.274,94.4,No,No,Yes,Yes,3,True,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1
CHEMBL4297147,HALOPERIDOL LACTATE,S1_site688,-21.12,0.812,3.84,375.9,4.43,0.062,-1.125,91.1,Yes,No,Yes,Yes,4,True,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
CHEMBL4279047,VORASIDENIB,S1_site680,-21.83,0.809,2.91,414.7,4.31,-1.668,-3.155,87.6,No,No,No,Yes,3,True,C[C@@H](Nc1nc(N[C@H](C)C(F)(F)F)nc(-c2cccc(Cl)n2)n1)C(F)(F)F
CHEMBL63857,PHENOLPHTHALEIN,S1_site688,-19.31,0.805,4.3,318.3,3.56,-0.615,-2.088,97.0,Yes,Yes,Yes,No,3,True,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
CHEMBL25202,TAMIBAROTENE,S1_site680,-20.64,0.794,2.88,351.4,4.99,-0.308,-1.682,97.3,Yes,No,No,Yes,5,True,CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(C(=O)O)cc3)ccc21
CHEMBL1094636,NIRAPARIB,S1_site680,-18.68,0.778,4.91,320.4,2.59,-0.376,-2.246,95.3,Yes,Yes,Yes,Yes,2,True,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12
CHEMBL6437,MIANSERIN,S1_site688,-15.38,0.769,5.52,264.4,3.08,0.773,-1.344,97.4,No,No,Yes,Yes,4,True,CN1CCN2c3ccccc3Cc3ccccc3C2C1
CHEMBL1720,PALONOSETRON HYDROCHLORIDE,S1_site680,-16.78,0.763,5.74,296.4,2.66,0.727,-2.404,92.7,Yes,No,No,Yes,4,True,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2
CHEMBL1289926,AXITINIB,S1_site688,-21.32,0.762,2.92,386.5,4.64,-0.89,-1.983,92.9,Yes,No,Yes,Yes,4,True,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1
CHEMBL1657,TAZAROTENE,S1_site680,-18.93,0.757,4.17,351.5,4.43,0.324,-1.37,97.2,No,No,No,Yes,5,True,CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1
CHEMBL277100,TEMAFLOXACIN,S1_site680,-22.55,0.752,4.26,417.4,2.9,-0.873,-3.306,94.8,Yes,No,No,Yes,4,True,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1
CHEMBL1214124,PERAMPANEL,S1_site680,-19.07,0.706,4.16,349.4,4.44,0.332,-1.518,100.0,Yes,Yes,Yes,Yes,3,True,N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O
CHEMBL5315125,DUVELISIB MONOHYDRATE,S1_site680,-21.1,0.703,2.47,416.9,4.48,-1.338,-2.291,95.4,Yes,Yes,Yes,Yes,1,True,C[C@H](Nc1ncnc2nc[nH]c12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1
