system,group_id,n_replicas,best_tier,persistence,mean_score,mean_drugg,mean_volume,cx,cy,cz,runs
S1_BIN1_BAR,37,2,Tier2,0.0567,-0.0437,0.0793,415.8,79.55,74.91,94.14,"1,3"
S1_BIN1_BAR,75,2,Tier2,0.0564,-0.027,0.0546,401.8,62.98,61.39,85.39,"1,3"
S1_BIN1_BAR,32,2,Tier2,0.0559,-0.0142,0.0187,305.6,64.76,75.72,92.66,"1,3"
S1_BIN1_BAR,27,2,Tier2,0.0552,-0.0432,0.0229,297.4,85.35,63.38,79.16,"1,3"
S1_BIN1_BAR,30,2,Tier2,0.0545,-0.0398,0.0484,345.8,82.98,62.65,97.09,"1,3"
S1_BIN1_BAR,105,2,Tier2,0.0539,-0.0185,0.0757,390.4,68.68,86.79,63.74,"1,3"
S1_BIN1_BAR,81,2,Tier2,0.0532,-0.0584,0.0191,318.7,93.01,76.49,56.93,"1,3"
S1_BIN1_BAR,59,2,Tier2,0.0524,-0.0104,0.042,340.5,56.22,66.84,60.68,"1,3"
S1_BIN1_BAR,4,2,Tier2,0.0521,0.043,0.0462,303.9,101.78,63.81,99.34,"2,3"
S1_BIN1_BAR,112,2,Tier2,0.0516,-0.0105,0.006,312.2,102.22,89.04,75.9,"1,3"
S2_BIN1_SH3,15,3,Tier2,0.0635,0.1607,0.0829,342.8,31.33,30.76,21.11,"1,2,3"
S2_BIN1_SH3,3,3,Tier2,0.061,0.1522,0.0662,334.5,31.05,39.84,32.15,"1,2,3"
S2_BIN1_SH3,6,3,Tier2,0.0596,0.1293,0.084,341.8,38.3,32.56,25.08,"1,2,3"
S2_BIN1_SH3,16,3,Tier2,0.0593,0.1851,0.0619,335.0,21.76,32.28,32.98,"1,2,3"
S2_BIN1_SH3,12,3,Tier2,0.0592,0.1933,0.0775,331.0,24.98,25.3,35.8,"1,2,3"
S2_BIN1_SH3,4,3,Tier2,0.0584,0.1824,0.0818,342.5,27.53,36.44,36.18,"1,2,3"
S2_BIN1_SH3,13,3,Tier2,0.0581,0.1873,0.0632,334.5,26.08,22.0,31.24,"1,2,3"
S2_BIN1_SH3,17,3,Tier2,0.0571,0.1714,0.0876,350.7,25.42,37.4,26.29,"1,2,3"
S2_BIN1_SH3,14,3,Tier2,0.057,0.1855,0.0955,338.3,24.89,32.32,23.92,"1,2,3"
S2_BIN1_SH3,11,3,Tier2,0.0559,0.2063,0.0869,349.2,23.0,26.57,27.69,"1,2,3"
S2_BIN1_SH3,2,3,Tier2,0.0556,0.132,0.0852,336.2,38.2,34.64,32.83,"1,2,3"
S2_BIN1_SH3,5,3,Tier2,0.0556,0.1422,0.1035,339.7,33.81,36.72,26.21,"1,2,3"
S2_BIN1_SH3,1,3,Tier2,0.0549,0.1821,0.0745,333.3,29.48,28.22,39.79,"1,2,3"
S2_BIN1_SH3,7,3,Tier2,0.0534,0.1613,0.1002,338.6,34.22,22.62,35.12,"1,2,3"
S2_BIN1_SH3,0,3,Tier2,0.0528,0.1554,0.0775,330.7,33.6,34.72,39.34,"1,2,3"
S2_BIN1_SH3,8,2,Tier2,0.0636,0.1225,0.0797,332.1,39.78,26.27,32.24,"1,3"
S2_BIN1_SH3,10,2,Tier2,0.0615,0.1442,0.0837,342.4,35.44,24.49,26.73,"1,3"
S2_BIN1_SH3,9,2,Tier2,0.0534,0.1687,0.0699,328.8,30.58,24.94,23.07,"1,3"
S3_PICALM_ANTH,47,3,Tier2,0.0814,0.1678,0.0575,273.9,41.26,42.15,42.59,"1,2,3"
S3_PICALM_ANTH,83,3,Tier2,0.0795,0.1363,0.0485,290.3,47.06,37.55,43.97,"1,2,3"
S3_PICALM_ANTH,21,3,Tier2,0.0792,0.138,0.0834,333.0,38.58,54.42,49.9,"1,2,3"
S3_PICALM_ANTH,30,3,Tier2,0.0738,0.1312,0.0404,276.9,49.25,55.7,53.12,"1,2,3"
S3_PICALM_ANTH,73,3,Tier2,0.0738,0.1313,0.0388,296.0,39.75,47.82,54.4,"1,2,3"
S3_PICALM_ANTH,86,3,Tier2,0.0736,0.1546,0.0419,235.4,50.85,41.12,51.44,"1,2,3"
S3_PICALM_ANTH,65,3,Tier2,0.0734,0.1113,0.0857,326.2,56.2,37.99,53.34,"1,2,3"
S3_PICALM_ANTH,34,3,Tier2,0.0727,0.102,0.052,306.6,60.37,53.92,48.23,"1,2,3"
S3_PICALM_ANTH,44,3,Tier2,0.0724,0.1239,0.0565,287.1,55.39,49.89,55.58,"1,2,3"
S3_PICALM_ANTH,36,3,Tier2,0.0722,0.151,0.0528,258.1,53.3,55.08,45.02,"1,2,3"
S3_PICALM_ANTH,67,3,Tier2,0.0721,0.0988,0.0658,326.1,59.57,44.3,55.01,"1,2,3"
S3_PICALM_ANTH,16,3,Tier2,0.0716,0.1165,0.0516,322.5,33.27,53.26,53.38,"1,2,3"
S3_PICALM_ANTH,75,3,Tier2,0.0716,0.1489,0.0521,273.7,41.01,40.93,51.41,"1,2,3"
S3_PICALM_ANTH,14,3,Tier2,0.0715,0.1217,0.046,319.5,33.74,54.04,42.85,"1,2,3"
S3_PICALM_ANTH,61,3,Tier2,0.0713,0.1188,0.0503,282.1,58.52,45.69,46.22,"1,2,3"
S3_PICALM_ANTH,8,3,Tier2,0.0711,0.1252,0.0623,307.3,42.45,52.5,36.98,"1,2,3"
S3_PICALM_ANTH,12,3,Tier2,0.0706,0.1338,0.0402,277.0,38.31,48.21,45.79,"1,2,3"
S3_PICALM_ANTH,33,3,Tier2,0.0705,0.1117,0.0609,313.3,58.99,57.99,50.91,"1,2,3"
S3_PICALM_ANTH,17,3,Tier2,0.0697,0.1065,0.0596,319.1,43.67,62.23,48.07,"1,2,3"
S3_PICALM_ANTH,62,3,Tier2,0.0692,0.1326,0.0487,279.3,54.6,39.82,45.9,"1,2,3"
S3_PICALM_ANTH,6,3,Tier2,0.0687,0.1282,0.0639,311.4,40.86,55.85,41.04,"1,2,3"
S3_PICALM_ANTH,72,3,Tier2,0.0687,0.1078,0.057,316.1,42.45,47.82,60.41,"1,2,3"
S3_PICALM_ANTH,79,3,Tier2,0.068,0.1409,0.0545,288.0,45.06,43.53,56.62,"1,2,3"
S3_PICALM_ANTH,70,3,Tier2,0.0678,0.0957,0.0715,312.1,50.93,43.27,61.76,"1,2,3"
S3_PICALM_ANTH,9,3,Tier2,0.0674,0.0919,0.0391,315.2,49.95,51.78,33.78,"1,2,3"
S3_PICALM_ANTH,25,3,Tier2,0.0674,0.1002,0.0653,319.4,42.1,53.92,59.81,"1,2,3"
S3_PICALM_ANTH,78,3,Tier2,0.0673,0.1365,0.0627,301.8,39.4,36.48,47.84,"1,2,3"
S3_PICALM_ANTH,26,3,Tier2,0.0671,0.1497,0.079,301.5,42.95,54.33,54.78,"1,2,3"
S3_PICALM_ANTH,55,3,Tier2,0.0671,0.1744,0.0591,251.4,49.09,45.95,40.04,"1,2,3"
S3_PICALM_ANTH,60,3,Tier2,0.0668,0.0986,0.0791,325.4,59.78,40.78,41.08,"1,2,3"
S3_PICALM_ANTH,54,3,Tier2,0.0667,0.1223,0.1032,349.0,45.99,39.64,33.95,"1,2,3"
S3_PICALM_ANTH,45,3,Tier2,0.066,0.0888,0.0724,339.8,64.86,48.56,50.02,"1,2,3"
S3_PICALM_ANTH,50,3,Tier2,0.066,0.1209,0.0603,307.6,37.43,38.41,39.59,"1,2,3"
S3_PICALM_ANTH,29,3,Tier2,0.0659,0.0958,0.0603,321.9,53.32,59.49,55.74,"1,2,3"
S3_PICALM_ANTH,48,3,Tier2,0.0659,0.1185,0.0628,323.3,40.03,44.13,36.17,"1,2,3"
S3_PICALM_ANTH,77,3,Tier2,0.0656,0.1163,0.0375,311.2,34.98,40.68,45.3,"1,2,3"
S3_PICALM_ANTH,74,3,Tier2,0.0655,0.1093,0.0471,318.9,38.0,43.27,57.85,"1,2,3"
S3_PICALM_ANTH,80,3,Tier2,0.0655,0.1136,0.0674,323.5,46.41,37.41,58.11,"1,2,3"
S3_PICALM_ANTH,3,3,Tier2,0.0654,0.1063,0.0572,323.2,48.05,61.72,41.84,"1,2,3"
S3_PICALM_ANTH,10,3,Tier2,0.0654,0.1417,0.062,297.5,48.52,54.97,38.68,"1,2,3"
S3_PICALM_ANTH,11,3,Tier2,0.0651,0.1197,0.0382,321.1,33.86,45.79,50.11,"1,2,3"
S3_PICALM_ANTH,28,3,Tier2,0.0651,0.0709,0.0559,330.5,51.36,57.82,61.72,"1,2,3"
S3_PICALM_ANTH,39,3,Tier2,0.0651,0.0936,0.0834,331.5,60.6,45.5,36.64,"1,2,3"
S3_PICALM_ANTH,7,3,Tier2,0.0641,0.1078,0.0931,334.6,40.25,49.33,32.95,"1,2,3"
S3_PICALM_ANTH,5,3,Tier2,0.0638,0.1131,0.0653,325.0,39.31,59.73,43.97,"1,2,3"
S3_PICALM_ANTH,37,3,Tier2,0.0634,0.0835,0.0448,318.6,63.64,50.41,43.3,"1,2,3"
S3_PICALM_ANTH,64,3,Tier2,0.0633,0.106,0.0971,339.8,58.03,34.88,43.82,"1,2,3"
S3_PICALM_ANTH,13,3,Tier2,0.063,0.1086,0.0438,307.0,32.62,45.92,41.62,"1,2,3"
S3_PICALM_ANTH,81,3,Tier2,0.0625,0.1132,0.0638,321.0,45.88,33.01,50.81,"1,2,3"
S3_PICALM_ANTH,51,3,Tier2,0.0622,0.1108,0.0906,335.8,55.11,37.37,36.66,"1,2,3"
S3_PICALM_ANTH,0,3,Tier2,0.062,0.091,0.0457,318.6,55.84,57.75,38.82,"1,2,3"
S3_PICALM_ANTH,23,3,Tier2,0.0616,0.0976,0.0598,336.3,36.47,56.02,58.12,"1,2,3"
S3_PICALM_ANTH,68,3,Tier2,0.0614,0.065,0.0592,337.0,49.1,51.1,63.61,"1,2,3"
S3_PICALM_ANTH,38,3,Tier2,0.0612,0.0853,0.0445,321.7,63.13,56.63,41.41,"1,2,3"
S3_PICALM_ANTH,53,3,Tier2,0.0612,0.0985,0.0854,348.7,48.35,44.88,33.03,"1,2,3"
S3_PICALM_ANTH,52,3,Tier2,0.0611,0.1108,0.0861,322.3,49.22,32.65,36.49,"1,2,3"
S3_PICALM_ANTH,20,3,Tier2,0.061,0.1795,0.0712,270.3,44.53,54.4,48.67,"1,2,3"
S3_PICALM_ANTH,57,3,Tier2,0.0607,0.0708,0.0656,333.8,59.0,44.16,61.95,"1,2,3"
S3_PICALM_ANTH,56,3,Tier2,0.0604,0.0965,0.0642,324.0,54.17,44.27,33.26,"1,2,3"
S3_PICALM_ANTH,63,3,Tier2,0.0604,0.0993,0.0557,311.3,52.97,34.61,46.8,"1,2,3"
S3_PICALM_ANTH,27,3,Tier2,0.0601,0.067,0.0653,339.8,56.56,53.43,61.89,"1,2,3"
S3_PICALM_ANTH,85,3,Tier2,0.0601,0.2248,0.0571,178.4,46.24,44.82,47.13,"1,2,3"
S3_PICALM_ANTH,32,3,Tier2,0.0596,0.0988,0.0521,315.0,55.74,62.01,47.44,"1,2,3"
S3_PICALM_ANTH,49,3,Tier2,0.0596,0.1134,0.0604,316.4,42.17,33.23,37.34,"1,2,3"
S3_PICALM_ANTH,46,3,Tier2,0.0594,0.0891,0.0588,315.9,62.12,51.3,57.01,"1,2,3"
S3_PICALM_ANTH,40,3,Tier2,0.0586,0.0867,0.0677,329.3,61.16,53.18,36.28,"1,2,3"
S3_PICALM_ANTH,24,3,Tier2,0.0582,0.0918,0.0644,341.7,43.88,59.15,58.9,"1,2,3"
S3_PICALM_ANTH,84,3,Tier2,0.058,0.1189,0.115,337.5,46.34,30.86,43.74,"1,2,3"
S3_PICALM_ANTH,15,3,Tier2,0.0578,0.0973,0.0418,314.0,35.09,62.26,49.33,"1,2,3"
S3_PICALM_ANTH,18,3,Tier2,0.0574,0.1068,0.067,331.4,43.76,62.78,53.5,"1,2,3"
S3_PICALM_ANTH,69,3,Tier2,0.0551,0.1252,0.045,284.8,50.74,46.78,57.59,"1,2,3"
S3_PICALM_ANTH,35,2,Tier2,0.0912,0.2265,0.072,209.3,52.84,50.73,49.58,"1,2"
S3_PICALM_ANTH,41,2,Tier2,0.0751,0.1172,0.055,303.4,56.04,49.82,39.73,"2,3"
S3_PICALM_ANTH,4,2,Tier2,0.0613,0.0952,0.036,307.3,36.55,62.01,38.17,"1,2"
S3_PICALM_ANTH,58,2,Tier2,0.0604,0.0824,0.0654,334.8,53.38,35.45,60.7,"1,3"
S3_PICALM_ANTH,76,2,Tier2,0.0604,0.1091,0.0628,335.1,36.77,37.63,54.51,"1,3"
S3_PICALM_ANTH,66,2,Tier2,0.0588,0.0935,0.0784,351.8,64.24,40.71,50.94,"2,3"
S3_PICALM_ANTH,82,2,Tier2,0.0578,0.0952,0.0785,345.8,48.9,31.81,55.86,"1,3"
S3_PICALM_ANTH,31,2,Tier2,0.0577,0.0924,0.0591,346.0,51.43,66.34,49.14,"2,3"
S3_PICALM_ANTH,59,2,Tier2,0.0562,0.0743,0.0313,309.1,58.9,34.9,59.82,"2,3"
S3_PICALM_ANTH,71,2,Tier2,0.0541,0.0628,0.0498,322.6,40.33,42.63,64.4,"1,3"
S3_PICALM_ANTH,1,2,Tier2,0.0531,0.0801,0.0296,315.9,58.18,61.5,34.6,"1,2"
S3_PICALM_ANTH,22,2,Tier2,0.051,0.0628,0.0303,299.4,37.27,61.4,60.82,"2,3"
S4_CD2AP_SH3-2,4,3,Tier2,0.0622,0.215,0.1029,315.1,37.0,27.26,30.56,"1,2,3"
S4_CD2AP_SH3-2,2,2,Tier2,0.0525,0.2676,0.0724,295.1,28.4,20.88,26.86,"2,3"
S5_CD2AP_SH3-1,5,3,Tier2,0.0546,0.2542,0.0656,299.2,29.04,28.65,19.88,"1,2,3"
S5_CD2AP_SH3-1,1,3,Tier2,0.0544,0.286,0.0773,317.2,27.03,26.15,36.6,"1,2,3"
S5_CD2AP_SH3-1,0,2,Tier2,0.0539,0.2788,0.071,315.0,26.34,20.78,28.71,"1,3"
S5_CD2AP_SH3-1,3,2,Tier2,0.0515,0.2379,0.0715,303.9,32.74,36.65,29.05,"1,2"
